identity,question,a འདི་ཡང་,b,c,d,correct_ answer
hsc-botany-12-76,C_3 གི་ CO_2ལེན་མི་སྡེ་ཚན་འདི་ནང་ལུ་ ཀེར་བཱོན་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,མཱན་ཇེ་ནིསི་,ནིཊི་རོཇེན་,ཀེ་རེབསི་གི་འཁོར་ལོ་,6,b
hsc-botany-12-77,སྲོག་ལེན་གྱི་ལཱ་འདི་ནང་ལུ་ ཨོ་ཟི་ཇེན་འདི་ ག་ཅི་སྦེ་ལག་ལེན་འཐབ་ནི་ཨིན་ན?,སློབ་དཔོན་,མེ་ཊ་ཕེསི་,དམར་པོ་,གློག་ཤུགས་སྐྱེལ་འདྲེན་འཕྲུལ་ཆས་,c
hsc-botany-12-78,འོད་ཟེར་འདི་ ག་བཟུམ་ཅིག་ལུ་བརྟེན་ འོད་སྦྱོར་གྱི་ལཱ་ཚུ་འབད་དོ་ཡོདཔ་ཨིན་ན?,ཀ་ལོརིན་,ཀ་ལསི་ཡཱེམ་,ལི་གི་,དཀར་ཆག་,a
hsc-botany-12-79,ཟས་བཅུད་སྦོམ་ཤོས་འདི་ག་ཅི་ཨིན་ན?,དཀར་འབྲུ་,དཀར་འབྲུ་,ཨ་ན་ཕ་ཇ་,ལྕགས་,d
hsc-botany-12-80,འ་ནི་ཀེ་རོ་མཱཊིས་ཚུ་ དབྱེ་ཁག་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,ལེཔཊོ་སི་ཊེ་རིཀ,ཆུ་ལྟེ་བའི་གནས་སྟངས་,མ་ག་སི་ཡཱེམ་,གློག་ཐག་ར་བ་,c
hsc-botany-12-81,ག་འདི་ཨ་ནི་ཡཱོན་སྦེ་ འཐུང་དོ་ཡོདཔ་ཨིན་ན?,ལྡོག་ཕྱོགས་འགོ་ཁྲིདཔ་,ཟླཝ་,བུམ་ཐང་ལུ་,སོ་ཌིཡཱམ,a
hsc-botany-12-82,སྦ་སྒོར་གྱི་སེརཔོ་ལསི་ཊི་འདི་ སྔོ་ཤིང་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,མ་ལི་ཀཨེ་སིཌ་,སི་ཊི་རི་ཀཨེ་སིཌ་,ཨཱར་ཡཱན་,གེ་ཟ་,b
hsc-botany-12-84,i. གེ་མིཊ་,i དང་ ii,i དང་ iii,སྒྲོམ་,མཐུད་སྦྲེལ་འབད་ཡོདཔ་ཨིན།,b
hsc-botany-12-85,༢། ཇའི་གེཊ་,ཀ་,SO_4,ཨེས་ཁཱལ་ཨསིཌ་,ཐོ་བཀོད་འབད་,c
hsc-botany-12-86,གསུམ་པ་ ཁྱད་པར་ཅན་,Mg,Mn,ii དང་ iii,ལེག་ཊིག་ཨེ་སིཌ་,b
hsc-botany-12-87,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,རྡོ་གཅལ་,ཚལ་ལུ་,ii དང་ iii,"i, ii,དང་ iii",d
hsc-botany-12-88,འོག་གི་རྒྱུ་རྡུལ་ག་འདི་མགྱོགས་དྲགས་སྦེ་ ཉུང་གསོཝ་ཨིན་ན?,ངོ་མ་,ཤིང་གི་རྩ་བ་,ཀ་,"i, ii,དང་ iii",c
hsc-botany-12-89,ཆུ་འདི་འོད་ལུ་འགྱུར་ནི་གི་དོན་ལས་ ག་དེ་ཅིག་ དགོཔ་ཡོདཔ་ཨིན་ན?,2,6,ཀ་,Mg,a
hsc-botany-12-90,འ་ནི་གྲལ་ལས་ ག་འདི་ རིགས་བརྒྱུད་ཀྱི་རྒྱུད་ལས་ སྐྱེས་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,སྒྱུ་རྩལ་,Fe,c
hsc-botany-12-91,སྔོ་ཚལ་གྱི་ཚོར་སྣང་གི་ཡན་ལག་ངོ་མ་འདི་ག་ཅི་ཡོདཔ་ཨིན་ན?,ལེཔ་ཏོ་ཊིན་,ཟི་གཱོ་ཏིན་,ཤོག་ལེབ་,དཱལ་ཡ་,c
hsc-botany-12-92,སྲོག་ཤུགས་མེད་པ་ཅིན་ ཨེཊི་པི་ག་ཚོད་ཐོན་འོང་ག་,Solanum tuberausm,Pisum satvum,24,མེ་ཏོག་,b
hsc-botany-12-93,ཚ་དྲོད་མཉམ་སྦྲེལ་གྱིས་ བཟོ་སྐྲུན་འབད་དོ་ཡོདཔ་ཨིན།,གཟུགས་ཁར་གྱི་པགས་པ་,ཨེ་པི་བཱལ་མཱམ་,ii དང་ iii,38,b
hsc-botany-12-94,i. CO_2,སློབ་དཔོན་,ཨ་ན་ཕ་ཇ་,པ་ཀི་ཊིན་,"i, ii,དང་ iii",d
hsc-botany-12-95,༢། H_{2}O དེ་ནང་ལུ་,སྒྱུ་རྩལ་,དཀར་འབྲུ་,Brassica napus,ཌིཔ་ལོཊིན་,a
hsc-botany-12-96,གསུམ་པ་ O_2,སི་ཊོ་ཀི་ནེས་སི་,ཀ་རི་ཨོ་ཀི་ནེས་སི་,ཧའི་པཱའར་མཱིས་,Colotropis procera ཟེར་མི་འདི་ཨིན།,b
hsc-botany-12-97,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i དང་ ii,i དང་ iii,གློག་ཐག་ར་བ་,ཀོར་ཊེགསི་,b
hsc-botany-12-98,ལམ་འདི་ག་ཏེ་ལས་ འགོ་བཙུགས་ནི་ཨིན་ན?,ཡར་ཁ་ཐུག་ལུ་,འོག་ལུ་བལྟ་,ཨ་ནཱན་སིཊ་,སི་ཊོ་ཀི་ནེས་སི་,d
hsc-botany-12-99,ཝེཀ་སི་ལར་ ཨེསི་ཊི་བེ་ཊི་འུནཌ་འདི་ ཤིང་སྣ་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,རུས་ཚིགས་མེད་པའི་ཚིགས་,རླུང་མ་འཕུ་མི་ཅིག་ཨིན་མས།,ཌའི་ཀ་ནེས་སི་,ཨ་ཏ་,d
hsc-botany-12-100,རྩ་བ་གི་པགས་པ་ལུ་ ག་ཅི་སླབ་ནི་ཨིན་ན?,མུ་ཏིག་,ཕར་ནསི་,ii དང་ iii,སི་ན་པཱསི་,c
hsc-botany-12-101,ཐབ་ཚངཔ་ཚུ་ འོག་གི་གནས་རིམ་ག་ཏེ་ལུ་ འགོ་བཙུགས་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ཕྱོགས་གཅིག་ཁ་ཐུག་འབད་མི་,"i, ii,དང་ iii",b
hsc-botany-12-102,འ་ནི་གྲལ་ལས་ ག་འདི་ཤིང་འབྲས་ཅན་ཨིན་ན?,དཀར་འབྲུ་,གྲོ་,ཌི་པི་ལིང་ཇེ་ལེནཌི་,ཀེར་ཐིག་,c
hsc-botany-12-103,ནིའུ་ཀིའུཊི་འདི་ དབྱེ་བ་ཕྱེ་ནིའི་དོན་ལས་ ག་ཅི་སླབ་ནི་ཨིན་ན?,མི་ཊོ་ཀོནཌི་ཡ་ནང་ལུ་,ཀ་ལོརོ་པཱསི་ཊི,སྦ་སྒོར་ཚུ་,མང་ཤོས་ཅིག་ར་ རླུང་མ་འཕུ་མི་ཚུ་ཨིན།,d
hsc-botany-12-105,ཇི་ཏིཔ་པི་ལུ་ ཤིང་འབྲས་ག་བཟུམ་ཅིག་སླབ་ཡོདཔ་སྨོ་ཟེར་,ཏ་པེ་ཏཱམ་,ཨེ་ཌོསི་པེར་མ་,ii དང་ iii,ནག་མོ་ཚུ་,c
hsc-botany-12-106,འཛམ་གླིང་ནང་ དར་ཁྱབ་འགྱོ་མི་ སྔོ་ཚལ་དང་ ཤིང་འབྲས་ཀྱི་རིགས་ཚུ་ སྐར་མ་གསུམ་སྦེ་སྤུབས་ཏེ་འདུག,i དང་ ii,i དང་ iii,ཨེ་ཁུ་,"i, ii,དང་ iii",a
hsc-botany-12-107,ལྕང་ཤིང་གི་ཁྱད་ཆོས་འདི་:,ལུན་ཌེ་གཱཌ་གི་ལྟ་བ་,ལེསི་ཊི་ནའི་འཁོར་ལམ་གྱི་ལྟ་བ་,རའི་བོ་ཟོ་མཱ།,ཨེ་མ་,d
hsc-botany-12-108,i. ཐབས་ལམ་གཉིས་པ་ཨིན།,i དང་ ii,i དང་ iii,ཀེ་རོ་ཊིན་,སྲོག་ཆགས་ཀྱི་པགས་པའི་ནང་ལུ་,c
hsc-botany-12-109,༢། གྲུབ་འབྲས་ག་ནི་ཡང་མ་ཐོན་,ཡར་ཁ་ཐུག་ལུ་,འོག་ལུ་བལྟ་,ནེའུ་ཟེ་ལཱསི་,ཟཱནཏོ་ཕི་ལ,d
hsc-botany-12-110,གསུམ་པ་ དེ་ལས་ ཕྲ་རིང་འདི་ནང་ལུ་ མཚམས་སྦྱོར་གྱི་ས་སྒོ་འདི་ཡོདཔ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,ཨ་ལོ་ཆགས་སའི་ས་སྒོ་,b
hsc-botany-12-111,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,སློབ་དཔོན་,མེ་ཊ་ཕེསི་,སྲོག་ཆགས་ཀྱི་ཨའི་ཡཱན་ ཀོ་ཊར་ནོ་ཊར་ (co-transport) གྲུབ་མཐའ་འདི་,"i, ii,དང་ iii",c
hsc-botany-12-112,འ་ནི་གྲལ་ལས་ C_4 ཤིང་ཆས་འདི་ག་འདི་ཨིན་ན།,i དང་ ii,i དང་ iii,ii དང་ iii,ཌོ་ནཱན་འདི་,c
hsc-botany-12-113,གཤག་བཅོས་འདི་ ས་སྒོ་ག་ཏེ་ལུ་འབདཝ་ཨིན་ན?,ཟི་གཱོ་ཏིན་,པ་ཀི་ཊིན་,ཕྱོགས་གཅིག་ཁ་ཐུག་འབད་མི་,"i, ii,དང་ iii",c
hsc-botany-12-114,འོག་གི་རྒྱུ་རྫས་ཚུ་གི་གྲས་ལས་ ག་འདི་ ཚོས་གཞི་ཧྲིལ་བུམ་སྦེ་བཟོ་ནི་ཨིན་ན?,ཌའི་ལོག་ཨེབ་གཏང་འབད།,Xylem གི་གཟུགས་ཁར་ཡོད་མི་ ཁམས་ཕྲན་འདི་ངོ་མ་ཨིན།,ii དང་ iii,ཀེར་ཐིག་,c
hsc-botany-12-115,ཨ་ལོ་ཆགས་མི་དེ་ལུ་ ཟས་བཅུད་ག་ཅི་ཡོདཔ་ཨིན་ན?,1,2,ཨ་ན་ཕ་ཇ་,"i, ii,དང་ iii",b
hsc-botany-12-117,i. ནུས་ཤུགས་འདི་ དབྱེ་བ་ཕྱེ་ནི་ཨིན་མས།,2,3,ii དང་ iii,གློག་ཐག་ར་བ་,b
hsc-botany-12-118,༢། སྲོག་ཆགས་ཀྱི་པགས་ཚལ་འདི་ དབྱེ་བ་ཕྱེ་དོ་ཡོདཔ་ཨིན།,ཀེལ་ཊར་ཚུ་,ཤཱལ་ཀཱ,ཌིཔ་ལོཊིན་,"i, ii,དང་ iii",a
hsc-botany-12-119,གསུམ་པ་ ཁམས་ཕྲན་ཡར་འཕར་འགྱོ་དོ་ཡོདཔ་ཨིན།,འབྲུ་,རྦ་རླབས་,རྒྱུད་རིམ་འདི་མ་འདྲ་བའི་དབྱིབས་ལུ་བརྟེན་ཡོདཔ་ཨིན།,ཌའི་ཀ་ནེས་སི་,a
hsc-botany-12-120,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,Karl Ereky གིས་,ཨེ་ཌ་ཝཱཌ་ ཇེན་ནར་,3,དེ་ལས་ ཕྲ་རིང་གི་གཟུགས་ཁར་ཡོད་པའི་ ཁམས་ཕྲན་འདི་ ཕྲ་རིང་གི་གཟུགས་ཁར་ཡོད་པའི་ ཁམས་ཕྲན་འདི་ཨིན།,a
hsc-botany-12-121,མཐའ་ཟུར་བཟོ་ནི་དེ་ ག་ཅི་ལུ་བརྟེན་ཡོདཔ་ཨིན་ན?,ཀ་བཱོན་,ཧ་ཌིརཇེན་,i དང་ iii,4,d
hsc-botany-12-122,དོག་མ་མེད་པའི་ཤིང་གི་ཁྱད་ཆོས་ག་ཅི་ཡོདཔ་ཨིན་ན?,ཕྱོགས་གཅིག་ཁ་ཐུག་,ཕྱོགས་གཉིས་པ་,4,"i, ii,དང་ iii",d
hsc-botany-12-123,སའི་ཀཱསི་གི་འདབ་མ་འདི་ ག་དེ་སྦེ་ཡོདཔ་ཨིན་ན?,i དང་ ii,i དང་ iii,ཁྲག་ཤུགས་ཀྱི་ནད་གཞི་,5,a
hsc-botany-12-125,i. ཀེར་ཐིག་ནང་ལུ་ hypodermis མེད་,སཔོ་རོ་ཟེཊ་,ཀི་རིཔ་ཊོ་ཇེཊི་,གློག་ཤུགས་,མཚམས་འཇོག་འབད་ཚུགས།,d
hsc-botany-12-126,༢། མཚོན་ཆ་འདི་ མཚོན་ཆ་གི་ལྟག་ལུ་ཡོདཔ་ཨིན།,མཱལ་རི་ཡཱན་,དྲོད་འབར་,John Clinch འདི་ལུ་བལྟ་བ་ཅིན་,ཐོ་མཱའུ།,d
hsc-botany-12-127,གསུམ་པ་ XYLEM འདི་ Y དང་ V སྦེ་བཟོ་ཡོདཔ་ཨིན།,མཆིན་ནད་འབུབ་,ནད་འབུབ་,ནད་འབུབ་དང་ ནད་འབུབ་གཞན་ཚུ་,Janet Parker ལུ་ཁ་སྐོང་འབད།,b
hsc-botany-12-128,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,འོད་ཟེར་,ཚ་དྲོད་,ཛའི་ལེམ་ནང་ལུ་,ནིཊི་རོཇེན་,c
hsc-botany-12-129,ནང་འཁོད་འདི་ནང་ལས་ག་འདི་ ནིའུ་ཀིའུཊི་ས་བཱའིན་གྱི་ དབྱེ་བ་ཨིན་ན།,ཁམས་ཕྲན་འདི་ ཤུགས་སྦེ་རང་འཐུདཔ་ཨིན།,ཁམས་ཀྱི་བར་ནང་ བར་སྟོང་མེདཔ་ཨིན།,ii དང་ iii,ཆུ་རུད་ལུ་དམིགས་ཏེ་,d
hsc-botany-12-130,Plasmodium vivax གི་ཁྱབ་ཚད་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,ངོ་མ་,ཤིང་གི་རྩ་བ་,ཌའི་ཀ་ནེས་སི་,"i, ii,དང་ iii",c
hsc-botany-12-131,ཀེ་རེམ་ལུ་ དྲོད་འབར་རྐྱབ་སྟེ་འདུག ཁོ་གི་མིག་ཏོ་ཡང་ དམར་པོ་ལུ་འགྱུར་ཡོདཔ་མ་ཚད་ གཟུགས་ཁར་ཡང་ དམར་པོ་གི་རྨ་ཐོན་ནུག,i དང་ ii,i དང་ iii,མེ་རོ་ཇེཊ་,སི་ཊོ་ཀི་ནེས་སི་,d
hsc-botany-12-132,ཌེང་གི་གི་མིང་ག་ཅི་ཡོདཔ་སྨོ་ཟེར་,i དང་ ii,i དང་ iii,ཧེ་པེ་ཊའི་ཏིས་ནད་གཞི་,ཝེ་ཀིནཊི་,a
hsc-botany-12-133,ཀེ་རེམ་ལུ་ དྲོད་འབར་རྐྱབ་སྟེ་འདུག ཁོ་གི་མིག་ཏོ་ཡང་ དམར་པོ་ལུ་འགྱུར་ཡོདཔ་མ་ཚད་ གཟུགས་ཁར་ཡང་ ཤ་རྦ་ག་སེརཔོ་ཐོན་ནུག,ཨཱལ་བཱརཏ་ ཀལའུ་ཌི་,Richard B. རོ་བྷོརཊ་,ཀ་བལ་,ཌེང་གི་,b
hsc-botany-12-134,"Karimལུ་ ནད་གཞི་འདི་ ག་ཅི་ལུ་བརྟེན་ཨིན་ན་ཟེར་བ་ཅིན་ ""...",སློབ་དཔོན་,མེ་ཊ་ཕ་ཡེསི་གི་རྒྱབ་སྐྱོར་,ཚ་དྲོད་,པཱལ་སི་མོ་དི་ཡཱེམ་,c
hsc-botany-12-135,འ་ནི་ནང་ལས་ ག་འདི་ཡར་འཕར་འགྱོཝ་ད་ དྲོད་འབར་མར་བབས་འགྱོཝ་ཨིན་ན?,i དང་ ii,i དང་ iii,ཁམས་ཀྱི་རྩིག་པའི་ནང་ལུ་ ཁམས་ཕྲན་འདི་བཟོ་སྟེ་ཡོདཔ་ཨིན།,རླུང་གི་འུར་བྱེལ་,a
hsc-botany-12-136,ཡུན་རིངམོ་སྦེ་ སྡོད་ཚུགས་པའི་ རིགས་རུས་ཀྱི་ཁྱད་ཆོས་ག་ཅི་ཡོདཔ་ཨིན་ན?,ཀའི་ཡ་ཟམ་,ཌའི་ལོག་,བྱི་ཐལཝ་,ཁམས་ཕྲན་འདི་ཡར་སྦོམ་འགྱོ་ནུག,c
hsc-botany-12-137,ལྕང་ཤིང་གི་རིགས་འདི་ ག་དེ་སྦེ་སྐྱེ་ཚུགས་ནི་སྨོ་,བཟའ་འཐུང་ཚུ་གསོག་འཇོག་འབད་དགོ,དེ་ལས་ སྦ་ཟེ་གིས་ཡང་ སྦ་ཟེ་གི་སོན་འདི་ སྦ་ཟེ་ལུ་བྱིན་ནུག,ii དང་ iii,སྐྱེ་བའི་ཨ་ལོ་འདི་,c
hsc-botany-12-138,འ་ནི་ལས་ཀ་འདི་གིས་ འབུབ་དང་སྲོག་ཆགས་ཀྱི་རིགས་ཚུ་ རྫས་སྦྱོར་འབད་ནི་ལུ་ ཕན་ཐོགས་འབྱུང་འོང་།,BMV,ནད་འབུབ་ཨེཆ་ཨའེ་བི་,ii དང་ iii,"i, ii,དང་ iii",b
hsc-botany-12-139,i. གོ་ལ་བཟུམ་ཅིག་སྦེ་,ཀ་བཱོལ་,བེ་རི་,George Palade གིས་འབད་ཡོདཔ་ཨིན།,"i, ii,དང་ iii",d
hsc-botany-12-140,༢། སྐྱེལ་འདྲེན་འབད་ཐངས་,ཀ་ལཱསི་གི་བཟོ་རྣམ་,ནད་འབུབ་བཀག་ཐབས་འབད་ཐབས།,མེ་ཊ་ཕེསི་,Christian de Duve འདི་,b
hsc-botany-12-141,གསུམ་པ་ ཨེན་ཇིམ་གི་འབྱུང་ཁུངས་ཅིག་སྦེ་,i དང་ ii,ii དང་ iii,ii དང་ iii,ཨ་ན་ཕ་ཇ་,d
hsc-botany-12-142,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,དཀར་ཆག་,དཀར་མདོག་དམརཔོ་,སི་ན་པཱསི་,"i, ii,དང་ iii",c
hsc-botany-12-144,"stimulus གི་གནས་རིམ་ A འདི་ག་ཅི་ཨིན་ན?""",i དང་ ii,ii དང་ iii,བཟའ་འཐུང་ཚུ་ གྲ་སྒྲིག་འབད་དོ་ཡོདཔ་ཨིན།,ས་མཚམས་བརྒལ་ནི་,a
hsc-botany-12-146,i. ལེག་ཊིཀ་ཨེ་སིཌ་འདི་ བཟོ་ནུག,i དང་ ii,ii དང་ iii,TMV,གེལའུ་ཀོཟ་འདི་ དཀརཔོ་ལུ་འགྱུར་ནི་,d
hsc-botany-12-147,༢། ཤར་ཕྱོགས་ལུ་ བྱ་རིམ་འདི་ མཉམ་འབྲེལ་འབད་ཡོདཔ་ཨིན།,སློབ་དཔོན་,མེ་ཊ་ཕ་ཡེསི་གི་རྒྱབ་སྐྱོར་,སི་ལི་ཀའ།,TIV,b
hsc-botany-12-148,གསུམ་པ་ འདི་ལུ་ ནད་གཞི་ཐོབ་མི་ ནདཔ་ཚུ་གིས་ ནད་གཞི་འདི་ལས་དྲག་མི་ཚུགས།,24,28,བརྡ་བརྒྱུད་ནང་ ཨེསི་པཱལཱནཊི་བཙུགས་ནི།,ཀ་རི་ཨོཔ་སི་,a
hsc-botany-12-149,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,བེ་ནེཊ་ ཀ་ལར་ཀ,ཇོ་ཇ་ དོ་ནཱན་,i དང་ iii,འགོ་ཐོག་གི་བཟོ་བཀོད་,c
hsc-botany-12-150,ཌེང་གི་ནད་འབུབ་ཀྱིས་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་གི་ནད་འབུབ་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་ འདི་ཡང་ (a) གཱ་མི་ཊོ་གཱནི་དང་ (b) སཔོ་རོ་གཱནི་,ཕོསི་ཕོསི་ཕོརཊོ་ཀི་ནེསི་,གསོལ་རས་ཚུ་,དམར་པོ་,"i, ii,དང་ iii",a
hsc-botany-12-151,རྒྱུད་བསྐུལ་གི་གནས་རིམ་ B འདི་ནང་འཁོད་ལས་བཟོ་རྣམ་ག་འདི་ཐོན་འོང་ག་ཟེར་བ་ཅིན་,དབྱེ་སེལ་འབདཝ་ཨིན།,འགྱུར་བཅོས་,ཟི་གི་,དཀར་ཆག་,c
hsc-botany-12-152,ཌེང་གི་ནད་འབུབ་ཀྱིས་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་གི་ནད་འབུབ་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་སྐྱོན་རྐྱབ་པའི་སྐབས་ ཌེང་གི་དེ་ གཟུགས་ལུ་ གནོད་ འདི་ཡང་ (a) གཱ་མི་ཊོ་གོ་ནི་དང་ (b) སཔོ་རོ་གོ་ནི་,ལྕགས་ཤོག་གི་གཟུགས་,རའི་བོ་ཟོམ་,i དང་ iii,ལི་གི་,b
hsc-botany-12-153,"རྒྱུད་བསྐུལ་གྱི་གནས་རིམ་ ""A"" གི་ཁྱད་ཆོས་འདི་ -",ཌི་ཨོཀསི་ རིབོསི་,ཧིསི་ཊཱོན་,ཝོ་ཀེན་ནེཊ་,"i, ii,དང་ iii",d
hsc-botany-12-154,i. འབྱེམ་འདི་ འབྱེམ་སྡེ་ཚན་ནང་རང་ འབྱུང་དོ་ཡོདཔ་ཨིན་མས།,སློབ་དཔོན་,མཐུན་ལམ་,i དང་ iii,སཔོ་རོ་ཟེཊ་,b
hsc-botany-12-155,༢། ཨམ་སྲུ་གི་ཕོ་མཚན་ནང་ལུ་ ཟུར་ཐིག་ཚུ་བཟོཝ་ཨིན།,དེ་ལས་ ཨ་ལོ་ཚུ་ཡར་སྦོམ་འགྱོ་སྟེ་ ལུས་སྟོབས་སྒྲིང་སྒྲིང་འགྱོ་འོང་།,གཟུགས་ཀྱི་རྨ་འདི་ བཏོན་བཏངམ་ཨིན།,མེ་ཊ་ཕེསི་,"i, ii,དང་ iii",c
hsc-botany-12-156,གསུམ་པ་ མཐུད་སྦྲེལ་འབད་ཚར་ནུག,ཀ་བལ་,Plasmodium,40,ཨ་ན་ཕ་ཇ་,d
hsc-botany-12-157,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,DNA དང་ RNA གཉིས་ཆ་ར་ལུ་ ནིའུ་ཀིལ་ཨེས་ཨེ་སིཌ་ཡོདཔ་ཨིན།,གཟུགས་ཀྱི་ཡར་རྒྱས་རྩ་ལས་མི་འགྱོ།,ལུན་ཌེ་གཱཌ་,42,a
